王静宜	ཝང་ཅིང་ཡི་
闻希娜	ཝུན་ཞི་ནུའོ་
闻毓民	ཝུན་ཡུས་མིན་
闻云锋	ཝུན་ཡུན་ཧྥེང་
翁宝良	ཝེང་པའོ་ལང་
翁海山	ཝེང་ཧའེ་ཧྲན་
翁金超	ཝེང་ཅིན་ཁྲའོ་
翁静	ཝེང་ཅིང་
翁开春	ཝེང་ཁའེ་ཁྲུན་
翁美荣	ཝེང་མེ་རུང་
翁天洋	ཝེང་ཐན་ཡང་
翁伟斌	ཝེང་ཝེ་པིན་
翁文艳	ཝེང་ཝུན་ཡན་
翁燕	ཝེང་ཡན་
翁逸人	ཝེང་ཡི་རེན་
翁玉婷	ཝེང་ཡུས་ཐིང་
翁章扬	ཝེང་ཀྲང་ཡང་
翁振佳	ཝེང་ཀྲེན་ཅ་
翁周云	ཝེང་ཀྲོའུ་ཡུན་
沃如耀	ཝོ་རུའུ་ཡའོ་
沃勇特	ཝོ་ཡུང་ཐེ་
乌肖忠	ཝུའུ་ཞའོ་ཀྲུང་
邬安祥	ཝུའུ་ཨན་ཞང་
邬钢锋	ཝུའུ་ཀང་ཧྥེང་
邬红儿	ཝུའུ་ཧུང་ཨར་
邬吉松	ཝུའུ་ཅི་སུང་
邬金海	ཝུའུ་ཅིན་ཧའེ་
邬科威	ཝུའུ་ཁེ་ཝེ་
邬雷凯	ཝུའུ་ལེ་ཁའེ་
邬列琦	ཝུའུ་ལེ་ཆི་
邬烈建	ཝུའུ་ལེ་ཅན་
邬武永	ཝུའུ་ཝུའུ་ཡུང་
邬叶定	ཝུའུ་ཡེ་ཏིང་
邬元君	ཝུའུ་ཡོན་ཅུན་
邬跃进	ཝུའུ་ཡུའེ་ཅིན་
邬志伟	ཝུའུ་ཀྲི་ཝེ་
巫孔华	ཝུའུ་ཁུང་ཧྭ་
巫协勇	ཝུའུ་ཞེ་ཡུང་
巫月琴	ཝུའུ་ཡུའེ་ཆིན་
吴胜	ཝུའུ་ཧྲེང་
吴啊施	ཝུའུ་ཨ་ཧྲི་
吴爱华	ཝུའུ་ཨའེ་ཧྭ་
吴爱莲	ཝུའུ་ཨའེ་ལན་
吴邦永	ཝུའུ་པང་ཡུང་
吴宝成	ཝུའུ་པའོ་ཁྲེང་
吴蓓蓓	ཝུའུ་པེ་པེ་
吴兵	ཝུའུ་པིང་
吴炳坤	ཝུའུ་པིང་ཁུན་
吴炳生	ཝུའུ་པིང་ཧྲེང་
吴才红	ཝུའུ་ཚའེ་ཧུང་
吴彩霞	ཝུའུ་ཚའེ་ཞ་
吴昌洪	ཝུའུ་ཁྲང་ཧུང་
吴长勇	ཝུའུ་ཁྲང་ཡུང་
吴宸峰	ཝུའུ་ཁྲེན་ཧྥེང་
吴成军	ཝུའུ་ཁྲེང་ཅུན་
吴承信	ཝུའུ་ཁྲེང་ཞིན་
吴楚汉	ཝུའུ་ཁྲུའུ་ཧན་
吴楚鑫	ཝུའུ་ཁྲུའུ་ཞིན་
吴楚轩	ཝུའུ་ཁྲུའུ་ཞོན་
吴传安	ཝུའུ་ཁྲོན་ཨན་
吴春波	ཝུའུ་ཁྲུན་པོ་
吴春燕	ཝུའུ་ཁྲུན་ཡན་
吴丛	ཝུའུ་ཚུང་
吴达	ཝུའུ་ཏ་
吴达恭	ཝུའུ་ཏ་ཀུང་
吴达胜	ཝུའུ་ཏ་ཧྲེང་
吴德凤	ཝུའུ་ཏེ་ཧྥེང་
吴德杰	ཝུའུ་ཏེ་ཅེ་
吴登国	ཝུའུ་ཏེང་ཀུའོ་
吴荻	ཝུའུ་ཏི་
吴东升	ཝུའུ་ཏུང་ཧྲེང་
吴冬兰	ཝུའུ་ཏུང་ལན་
吴冬平	ཝུའུ་ཏུང་ཕིང་
吴栋	ཝུའུ་ཏུང་
吴栋梁	ཝུའུ་ཏུང་ལང་
吴法芳	ཝུའུ་ཧྥ་ཧྥང་
吴方平	ཝུའུ་ཧྥང་ཕིང་
吴芬燕	ཝུའུ་ཧྥེན་ཡན་
吴枫杰	ཝུའུ་ཧྥེང་ཅེ་
吴峰	ཝུའུ་ཧྥེང་
吴凤娟	ཝུའུ་ཧྥེང་ཅོན་
吴刚	ཝུའུ་ཀང་
吴戈琼	ཝུའུ་ཀེ་ཆུང་
吴桂英	ཝུའུ་ཀུའེ་ཡིང་
吴桂云	ཝུའུ་ཀུའེ་ཡུན་
吴国栋	ཝུའུ་ཀུའོ་ཏུང་
吴国方	ཝུའུ་ཀུའོ་ཧྥང་
吴国庆	ཝུའུ་ཀུའོ་ཆིང་
吴国树	ཝུའུ་ཀུའོ་ཧྲུའུ་
吴海红	ཝུའུ་ཧའེ་ཧུང་
吴海晶	ཝུའུ་ཧའེ་ཅིང་
吴海雷	ཝུའུ་ཧའེ་ལེ་
吴海蓉	ཝུའུ་ཧའེ་རུང་
吴海松	ཝུའུ་ཧའེ་སུང་
吴海燕	ཝུའུ་ཧའེ་ཡན་
吴寒	ཝུའུ་ཧན་
吴汉英	ཝུའུ་ཧན་ཡིང་
吴汗余	ཝུའུ་ཧན་ཡུས་
吴昊岩	ཝུའུ་ཧའོ་ཡན་
吴昊钟	ཝུའུ་ཧའོ་ཀྲུང་
吴浩	ཝུའུ་ཧའོ་
吴河云	ཝུའུ་ཧེ་ཡུན་
吴恒	ཝུའུ་ཧེང་
吴洪玲	ཝུའུ་ཧུང་ལིང་
吴华东	ཝུའུ་ཧྭ་ཏུང་
吴焕	ཝུའུ་ཧོན་
吴焕龙	ཝུའུ་ཧོན་ལུང་
吴会悦	ཝུའུ་ཧུའེ་ཡུའེ་
吴惠良	ཝུའུ་ཧུའེ་ལང་
吴惠升	ཝུའུ་ཧུའེ་ཧྲེང་
吴慧君	ཝུའུ་ཧུའེ་ཅུན་
吴继寿	ཝུའུ་ཅི་ཧྲོའུ་
吴家喜	ཝུའུ་ཅ་ཞི་
吴嘉恒	ཝུའུ་ཅ་ཧེང་
吴嘉林	ཝུའུ་ཅ་ལིན་
吴坚	ཝུའུ་ཅན་
吴建峰	ཝུའུ་ཅན་ཧྥེང་
吴建利	ཝུའུ་ཅན་ལི་
吴建宁	ཝུའུ་ཅན་ནིང་
吴剑峰	ཝུའུ་ཅན་ཧྥེང་
吴剑锋	ཝུའུ་ཅན་ཧྥེང་
吴剑南	ཝུའུ་ཅན་ནན་
吴江蛟	ཝུའུ་ཅང་ཅའོ་
吴杰	ཝུའུ་ཅེ་
吴杰烽	ཝུའུ་ཅེ་ཧྥེང་
吴杰锋	ཝུའུ་ཅེ་ཧྥེང་
吴洁	ཝུའུ་ཅེ་
吴金芳	ཝུའུ་ཅིན་ཧྥང་
吴金慧	ཝུའུ་ཅིན་ཧུའེ་
吴金伙	ཝུའུ་ཅིན་ཧུའོ་
吴金龙	ཝུའུ་ཅིན་ལུང་
吴金伟	ཝུའུ་ཅིན་ཝེ་
吴锦锦	ཝུའུ་ཅིན་ཅིན་
吴锦忠	ཝུའུ་ཅིན་ཀྲུང་
吴进敏	ཝུའུ་ཅིན་མིན་
吴晶景	ཝུའུ་ཅིང་ཅིང་
吴敬忠	ཝུའུ་ཅིང་ཀྲུང་
吴靖	ཝུའུ་ཅིང་
吴静	ཝུའུ་ཅིང་
吴静静	ཝུའུ་ཅིང་ཅིང་
吴静燕	ཝུའུ་ཅིང་ཡན་
吴隽杨	ཝུའུ་ཅོན་ཡང་
吴军妮	ཝུའུ་ཅུན་ནི་
吴君凤	ཝུའུ་ཅུན་ཧྥེང་
吴筠	ཝུའུ་ཅུན་
吴俊贤	ཝུའུ་ཅུན་ཞན་
吴侃	ཝུའུ་ཁན་
吴康亚	ཝུའུ་ཁང་ཡ་
吴珂	ཝུའུ་ཁེ་
吴坤	ཝུའུ་ཁུན་
吴兰	ཝུའུ་ལན་
吴岚	ཝུའུ་ལན་
吴蕾	ཝུའུ་ལེ་
吴莉佳	ཝུའུ་ལི་ཅ་
吴丽娟	ཝུའུ་ལི་ཅོན་
吴丽兰	ཝུའུ་ལི་ལན་
吴丽琴	ཝུའུ་ལི་ཆིན་
吴丽云	ཝུའུ་ལི་ཡུན་
吴利明	ཝུའུ་ལི་མིང་
吴连芳	ཝུའུ་ལན་ཧྥང་
吴连江	ཝུའུ་ལན་ཅང་
吴炼	ཝུའུ་ལན་
吴良建	ཝུའུ་ལང་ཅན་
吴林峰	ཝུའུ་ལིན་ཧྥེང་
吴林凤	ཝུའུ་ལིན་ཧྥེང་
吴林生	ཝུའུ་ལིན་ཧྲེང་
吴琳	ཝུའུ་ལིན་
吴琳祯	ཝུའུ་ལིན་ཀྲེན་
吴柳英	ཝུའུ་ལིའུ་ཡིང་
吴梅花	ཝུའུ་མེ་ཧྭ་
吴美	ཝུའུ་མེ་
吴妹琴	ཝུའུ་མེ་ཆིན་
吴朦朦	ཝུའུ་མེང་མེང་
吴梦菲	ཝུའུ་མེང་ཧྥེ་
吴梦晓	ཝུའུ་མེང་ཞའོ་
吴敏菊	ཝུའུ་མིན་ཅུས་
吴铭	ཝུའུ་མིང་
吴木荣	ཝུའུ་མུའུ་རུང་
吴木英	ཝུའུ་མུའུ་ཡིང་
吴培中	ཝུའུ་ཕེ་ཀྲུང་
吴沛沛	ཝུའུ་ཕེ་ཕེ་
吴沛强	ཝུའུ་ཕེ་ཆང་
吴琦	ཝུའུ་ཆི་
吴启川	ཝུའུ་ཆི་ཁྲོན་
吴启霞	ཝུའུ་ཆི་ཞ་
吴芹芹	ཝུའུ་ཆིན་ཆིན་
吴清河	ཝུའུ་ཆིང་ཧེ་
吴琼	ཝུའུ་ཆུང་
吴求林	ཝུའུ་ཆིའུ་ལིན་
吴权彬	ཝུའུ་ཆོན་པིན་
吴仁华	ཝུའུ་རེན་ཧྭ་
吴仁辉	ཝུའུ་རེན་ཧུའེ་
吴荣	ཝུའུ་རུང་
吴儒军	ཝུའུ་རུའུ་ཅུན་
吴汝柳	ཝུའུ་རུའུ་ལིའུ་
吴赛花	ཝུའུ་སའེ་ཧྭ་
吴赛英	ཝུའུ་སའེ་ཡིང་
吴赛月	ཝུའུ་སའེ་ཡུའེ་
吴善鹏	ཝུའུ་ཧྲན་ཕེང་
吴少英	ཝུའུ་ཧྲའོ་ཡིང་
吴圣彬	ཝུའུ་ཧྲེང་པིན་
吴盛斌	ཝུའུ་ཧྲེང་པིན་
吴盛忠	ཝུའུ་ཧྲེང་ཀྲུང་
吴诗春	ཝུའུ་ཧྲི་ཁྲུན་
吴士媛	ཝུའུ་ཧྲི་ཡོན་
吴世田	ཝུའུ་ཧྲི་ཐན་
吴世仪	ཝུའུ་ཧྲི་ཡི་
吴世忠	ཝུའུ་ཧྲི་ཀྲུང་
吴守琴	ཝུའུ་ཧྲོའུ་ཆིན་
吴淑莲	ཝུའུ་ཧྲུའུ་ལན་
吴淑萍	ཝུའུ་ཧྲུའུ་ཕིང་
吴双	ཝུའུ་ཧྲོང་
吴顺平	ཝུའུ་ཧྲུན་ཕིང་
吴松根	ཝུའུ་སུང་ཀེན་
吴松涛	ཝུའུ་སུང་ཐའོ་
吴松仙	ཝུའུ་སུང་ཞན་
吴添	ཝུའུ་ཐན་
吴婷婷	ཝུའུ་ཐིང་ཐིང་
吴彤	ཝུའུ་ཐུང་
吴威成	ཝུའུ་ཝེ་ཁྲེང་
吴维	ཝུའུ་ཝེ་
吴卫	ཝུའུ་ཝེ་
吴文斌	ཝུའུ་ཝུན་པིན་
吴文峰	ཝུའུ་ཝུན་ཧྥེང་
吴文佳	ཝུའུ་ཝུན་ཅ་
吴文智	ཝུའུ་ཝུན་ཀྲི་
吴雯倩	ཝུའུ་ཝུན་ཆན་
吴瑕	ཝུའུ་ཞ་
吴夏霞	ཝུའུ་ཞ་ཞ་
吴仙珠	ཝུའུ་ཞན་ཀྲུའུ་
吴娴	ཝུའུ་ཞན་
吴显红	ཝུའུ་ཞན་ཧུང་
吴相儒	ཝུའུ་ཞང་རུའུ་
吴祥华	ཝུའུ་ཞང་ཧྭ་
吴宵	ཝུའུ་ཞའོ་
吴小磊	ཝུའུ་ཞའོ་ལེ་
吴小平	ཝུའུ་ཞའོ་ཕིང་
吴小荣	ཝུའུ་ཞའོ་རུང་
吴小伟	ཝུའུ་ཞའོ་ཝེ་
吴晓林	ཝུའུ་ཞའོ་ལིན་
吴晓路	ཝུའུ་ཞའོ་ལུའུ་
吴晓敏	ཝུའུ་ཞའོ་མིན་
吴晓明	ཝུའུ་ཞའོ་མིང་
吴晓琼	ཝུའུ་ཞའོ་ཆུང་
吴晓茹	ཝུའུ་ཞའོ་རུའུ་
吴晓新	ཝུའུ་ཞའོ་ཞིན་
吴晓宇	ཝུའུ་ཞའོ་ཡུས་
吴孝锋	ཝུའུ་ཞའོ་ཧྥེང་
吴孝君	ཝུའུ་ཞའོ་ཅུན་
吴孝兰	ཝུའུ་ཞའོ་ལན་
吴欣娟	ཝུའུ་ཞིན་ཅོན་
吴行	ཝུའུ་ཧང་
吴行宇	ཝུའུ་ཧང་ཡུས་
吴雄	ཝུའུ་ཞུང་
吴秀芳	ཝུའུ་ཞིའུ་ཧྥང་
吴秀兰	ཝུའུ་ཞིའུ་ལན་
吴秀蕾	ཝུའུ་ཞིའུ་ལེ་
吴徐郁	ཝུའུ་ཞུས་ཡུས་
吴宣荣	ཝུའུ་ཞོན་རུང་
吴学敏	ཝུའུ་ཞུའེ་མིན་
吴雪娇	ཝུའུ་ཞུའེ་ཅའོ་
吴雪娟	ཝུའུ་ཞུའེ་ཅོན་
吴雪琼	ཝུའུ་ཞུའེ་ཆུང་
吴芽生	ཝུའུ་ཡ་ཧྲེང་
吴雅丽	ཝུའུ་ཡ་ལི་
吴雅鑫	ཝུའུ་ཡ་ཞིན་
吴亚	ཝུའུ་ཡ་
吴亚琴	ཝུའུ་ཡ་ཆིན་
吴严	ཝུའུ་ཡན་
吴妍	ཝུའུ་ཡན་
吴言通	ཝུའུ་ཡན་ཐུང་
吴琰	ཝུའུ་ཡན་
吴艳丽	ཝུའུ་ཡན་ལི་
吴艳玲	ཝུའུ་ཡན་ལིང་
吴燕	ཝུའུ་ཡན་
吴燕玲	ཝུའུ་ཡན་ལིང་
吴燕萍	ཝུའུ་ཡན་ཕིང་
吴阳	ཝུའུ་ཡང་
吴瑶瑶	ཝུའུ་ཡའོ་ཡའོ་
吴耀卫	ཝུའུ་ཡའོ་ཝེ་
吴一霞	ཝུའུ་ཡི་ཞ་
吴以玲	ཝུའུ་སི་ལིང་
吴以同	ཝུའུ་སི་ཐུང་
吴亦刚	ཝུའུ་ཡི་ཀང་
吴亦凯	ཝུའུ་ཡི་ཁའེ་
吴益敏	ཝུའུ་ཡི་མིན་
吴翊博	ཝུའུ་ཡི་པོ་
吴银平	ཝུའུ་ཡིན་ཕིང་
吴银仙	ཝུའུ་ཡིན་ཞན་
吴英	ཝུའུ་ཡིང་
吴瑛	ཝུའུ་ཡིང་
吴莹	ཝུའུ་ཡིང་
吴永定	ཝུའུ་ཡུང་ཏིང་
吴永芳	ཝུའུ་ཡུང་ཧྥང་
吴永吉	ཝུའུ་ཡུང་ཅི་
吴永莲	ཝུའུ་ཡུང་ལན་
吴永梅	ཝུའུ་ཡུང་མེ་
吴永强	ཝུའུ་ཡུང་ཆང་
吴有伟	ཝུའུ་ཡོའུ་ཝེ་
吴瑜	ཝུའུ་ཡུས་
吴玉	ཝུའུ་ཡུས་
吴玉婷	ཝུའུ་ཡུས་ཐིང་
吴月凤	ཝུའུ་ཡུའེ་ཧྥེང་
吴月玲	ཝུའུ་ཡུའེ་ལིང་
吴月霞	ཝུའུ་ཡུའེ་ཞ་
吴岳	ཝུའུ་ཡུའེ་
吴泽英	ཝུའུ་ཙེ་ཡིང་
吴泽云	ཝུའུ་ཙེ་ཡུན་
吴召南	ཝུའུ་ཀྲའོ་ནན་
吴臻	ཝུའུ་ཀྲེན་
吴振超	ཝུའུ་ཀྲེན་ཁྲའོ་
吴振铎	ཝུའུ་ཀྲེན་ཏུའོ་
吴振军	ཝུའུ་ཀྲེན་ཅུན་
吴镇东	ཝུའུ་ཀྲེན་ཏུང་
吴正阳	ཝུའུ་ཀྲེང་ཡང་
吴至仁	ཝུའུ་ཀྲི་རེན་
吴志明	ཝུའུ་ཀྲི་མིང་
吴志伟	ཝུའུ་ཀྲི་ཝེ་
吴竹萍	ཝུའུ་ཀྲུའུ་ཕིང་
吴翥儒	ཝུའུ་ཀྲུའུ་རུའུ་
吴子昀	ཝུའུ་ཙི་ཡུན་
吴宗根	ཝུའུ་ཙུང་ཀེན་
吾静	ཝུའུ་ཅིང་
仵伟	ཝུའུ་ཝེ་
仵泽	ཝུའུ་ཙེ་
伍飞	ཝུའུ་ཧྥེ་
伍海燕	ཝུའུ་ཧའེ་ཡན་
伍静怡	ཝུའུ་ཅིང་ཡི་
伍娟娟	ཝུའུ་ཅོན་ཅོན་
伍秋勇	ཝུའུ་ཆིའུ་ཡུང་
伍时良	ཝུའུ་ཧྲི་ལང་
伍世荣	ཝུའུ་ཧྲི་རུང་
伍武杰	ཝུའུ་ཝུའུ་ཅེ་
伍欣星	ཝུའུ་ཞིན་ཞིང་
伍卓华	ཝུའུ་ཀྲུའོ་ཧྭ་
武春春	ཝུའུ་ཁྲུན་ཁྲུན་
武凤玲	ཝུའུ་ཧྥེང་ལིང་
武海强	ཝུའུ་ཧའེ་ཆང་
武计	ཝུའུ་ཅི་
武晶晶	ཝུའུ་ཅིང་ཅིང་
武凯军	ཝུའུ་ཁའེ་ཅུན་
武敏敏	ཝུའུ་མིན་མིན་
武珊珊	ཝུའུ་ཧྲན་ཧྲན་
武善凤	ཝུའུ་ཧྲན་ཧྥེང་
武伟国	ཝུའུ་ཝེ་ཀུའོ་
武卫村	ཝུའུ་ཝེ་ཚུན་
武向春	ཝུའུ་ཞང་ཁྲུན་
武小军	ཝུའུ་ཞའོ་ཅུན་
武欣欣	ཝུའུ་ཞིན་ཞིན་
武学文	ཝུའུ་ཞུའེ་ཝུན་
武玉龙	ཝུའུ་ཡུས་ལུང་
郗安兰	ཁྲི་ཨན་ལན་
奚达飞	ཞི་ཏ་ཧྥེ་
奚坚锋	ཞི་ཅན་ཧྥེང་
奚立峰	ཞི་ལི་ཧྥེང་
奚强	ཞི་ཆང་
奚修权	ཞི་ཞིའུ་ཆོན་
奚亚琴	ཞི་ཡ་ཆིན་
席飞龙	ཞི་ཧྥེ་ལུང་
席建忠	ཞི་ཅན་ཀྲུང་
夏柏林	ཞ་པའེ་ལིན་
夏帮亮	ཞ་པང་ལང་
夏波罗	ཞ་པོ་ལུའོ་
夏长海	ཞ་ཁྲང་ཧའེ་
夏春芳	ཞ་ཁྲུན་ཧྥང་
夏春林	ཞ་ཁྲུན་ལིན་
夏春艳	ཞ་ཁྲུན་ཡན་
夏萃	ཞ་ཚུའེ་
夏丹娟	ཞ་ཏན་ཅོན་
夏飞	ཞ་ཧྥེ་
夏峰	ཞ་ཧྥེང་
夏国泉	ཞ་ཀུའོ་ཆོན་
夏国义	ཞ་ཀུའོ་ཡི་
夏海滨	ཞ་ཧའེ་པིན་
夏海兵	ཞ་ཧའེ་པིང་
夏海霞	ཞ་ཧའེ་ཞ་
夏红霞	ཞ་ཧུང་ཞ་
夏欢	ཞ་ཧོན་
夏慧	ཞ་ཧུའེ་
夏季红	ཞ་ཅི་ཧུང་
夏佳	ཞ་ཅ་
夏佳熠	ཞ་ཅ་ཡི་
夏剑毅	ཞ་ཅན་ཡི་
夏江华	ཞ་ཅང་ཧྭ་
夏江山	ཞ་ཅང་ཧྲན་
夏杰	ཞ་ཅེ་
夏杰峰	ཞ་ཅེ་ཧྥེང་
夏瑾璇	ཞ་ཅིན་ཞོན་
夏静倩	ཞ་ཅིང་ཆན་
夏静燕	ཞ་ཅིང་ཡན་
夏菊红	ཞ་ཅུས་ཧུང་
夏君姣	ཞ་ཅུན་ཅའོ་
夏俊	ཞ་ཅུན་
夏凯波	ཞ་ཁའེ་པོ་
夏凯强	ཞ་ཁའེ་ཆང་
夏磊	ཞ་ལེ་
夏丽红	ཞ་ལི་ཧུང་
夏凌云	ཞ་ལིང་ཡུན་
夏明珠	ཞ་མིང་ཀྲུའུ་
夏鹏	ཞ་ཕེང་
夏青	ཞ་ཅིང་
夏晴怡	ཞ་ཆིང་ཡི་
夏儒雅	ཞ་རུའུ་ཡ་
夏尚斌	ཞ་ཧྲང་པིན་
夏世平	ཞ་ཧྲི་ཕིང་
夏世钟	ཞ་ཧྲི་ཀྲུང་
夏堂明	ཞ་ཐང་མིང་
夏天添	ཞ་ཐན་ཐན་
夏文香	ཞ་ཝུན་ཞང་
夏雯	ཞ་ཝུན་
夏小娟	ཞ་ཞའོ་ཅོན་
夏小平	ཞ་ཞའོ་ཕིང་
夏小英	ཞ་ཞའོ་ཡིང་
夏孝春	ཞ་ཞའོ་ཁྲུན་
夏新民	ཞ་ཞིན་མིན་
夏鑫	ཞ་ཞིན་
夏杏芳	ཞ་ཞིང་ཧྥང་
夏雪芳	ཞ་ཞུའེ་ཧྥང་
夏雪丰	ཞ་ཞུའེ་ཧྥེང་
夏雪琴	ཞ་ཞུའེ་ཆིན་
夏雪挺	ཞ་ཞུའེ་ཐིང་
夏艳	ཞ་ཡན་
夏艳玲	ཞ་ཡན་ལིང་
夏叶	ཞ་ཡེ་
夏怡	ཞ་ཡི་
夏亦萍	ཞ་ཡི་ཕིང་
夏咏梅	ཞ་ཡུང་མེ་
夏源	ཞ་ཡོན་
夏云翠	ཞ་ཡུན་ཚུའེ་
夏振平	ཞ་ཀྲེན་ཕིང་
夏峥	ཞ་ཀྲེང་
夏峥彪	ཞ་ཀྲེང་པའོ་
夏正芹	ཞ་ཀྲེང་ཆིན་
